Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],Region 
Bolivia,BOL,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,50.33386763,LATIN AMERICA
Bosnia and Herzegovina,BIH,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,9628.758999,Eurostat-OECD
Bosnia and Herzegovina,BIH,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,66.38144871,Eurostat-OECD
Bosnia and Herzegovina,BIH,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,8467.625955,Eurostat-OECD
Bosnia and Herzegovina,BIH,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,68.17642108,Eurostat-OECD
Botswana,BWA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,13408.578,AFRICA
Botswana,BWA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,70.98024269,AFRICA
Botswana,BWA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,6780.312388,AFRICA
Botswana,BWA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,74.14528199,AFRICA
Brazil,BRA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,14639.42087,LATIN AMERICA
Brazil,BRA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,113.3997503,LATIN AMERICA
Brazil,BRA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,9906.149395,LATIN AMERICA
Brazil,BRA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,110.7828883,LATIN AMERICA
Brunei Darussalam,BRN,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,74396.61995,ASIA AND THE PACIFIC
Brunei Darussalam,BRN,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,73.54768312,ASIA AND THE PACIFIC
Brunei Darussalam,BRN,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,15683.26601,ASIA AND THE PACIFIC
Brunei Darussalam,BRN,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,80.47016639,ASIA AND THE PACIFIC
Bulgaria,BGR,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,15522.041,Eurostat-OECD
Bulgaria,BGR,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,60.51041648,Eurostat-OECD
Bulgaria,BGR,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,10970.24026,Eurostat-OECD
Bulgaria,BGR,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,58.18209502,Eurostat-OECD
Burkina Faso,BFA,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,1342.901426,AFRICA
Burkina Faso,BFA,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,58.38914673,AFRICA
Burkina Faso,BFA,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,952.5867889,AFRICA
Burkina Faso,BFA,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,53.84109083,AFRICA
Burundi,BDI,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,712.1102827,AFRICA
Burundi,BDI,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,43.53735549,AFRICA
Burundi,BDI,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,648.3395349,AFRICA
Burundi,BDI,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,43.09863292,AFRICA
Cambodia,KHM,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,2716.980507,ASIA AND THE PACIFIC
Cambodia,KHM,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,42.80242448,ASIA AND THE PACIFIC
Cambodia,KHM,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,2277.104574,ASIA AND THE PACIFIC
Cambodia,KHM,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,41.60414892,ASIA AND THE PACIFIC
Cameroon,CMR,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,2756.60029,AFRICA
Cameroon,CMR,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,62.09279293,AFRICA
Cameroon,CMR,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,2296.879754,AFRICA
Cameroon,CMR,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,56.4366651,AFRICA
Canada,CAN,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,41068.81422,Eurostat-OECD
Canada,CAN,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,161.9311232,Eurostat-OECD
Canada,CAN,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,27433.50425,Eurostat-OECD
Canada,CAN,02. Actual individual consumption,C02,PRICE LEVEL INDEX (World = 100),S08,160.1667138,Eurostat-OECD
Cape Verde,CPV,01. Gross domestic product,C01,REAL EXPENDITURES PER CAPITA (US$),S06,6125.718484,AFRICA
Cape Verde,CPV,01. Gross domestic product,C01,PRICE LEVEL INDEX (World = 100),S08,79.43165709,AFRICA
Cape Verde,CPV,02. Actual individual consumption,C02,REAL EXPENDITURES PER CAPITA (US$),S06,4747.283397,AFRICA
